objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"The Lady and the Tiger","222643","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","63692340","5.69245","6.23962","1.6471","6571","2826","thing","The Lady and the Tiger","1","6","20","20","15","2017","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lagoonies","191681","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","54463607","5.52044","6.04323","1","19608","264","thing","Lagoonies","2","4","20","20","20","2016","2,3,4","2,3","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"LANTERN","308386","0","0","0","1","0","0","0","0","0","0","0","3","","p&p","","","","119539834","5.55081","6.6742","1.4","13370","362","thing","LANTERN","1","1","20","20","10","2019","1","1","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns Dice: Lights in the Sky","274090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80291510","5.88999","6.76426","2.0833","4007","3046","thing","Lanterns Dice: Lights in the Sky","2","4","45","45","30","2019","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns: The Harvest Festival","160851","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80013095","6.59219","6.855","1.5445","1131","20959","thing","Lanterns: The Harvest Festival","2","4","30","30","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Defense!","303053","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130517778","5.61467","6.26737","1.25","8823","1633","thing","Last Defense!","2","6","20","20","20","2020","1,2,3,4,5,6","4","5+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Friday","192927","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","54467714","5.83172","6.4153","2.2593","4524","3884","thing","Last Friday","2","6","120","120","30","2016","2,3,4,5,6","6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Word","17709","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083981","5.47367","5.44707","1.2558","30093","2711","thing","Last Word","2","8","30","30","30","2005","2,3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Latice Hawai'i","283542","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109351223","5.64755","6.80468","1.6923","7677","1056","thing","Latice Hawai'i","2","4","20","20","20","2019","2,3,4","2","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"LCR","3522","6","0","0","1","0","0","0","0","0","0","0","3","","Small & tubs (we have 2 copies)
I find this game easy & relaxing","","","","32083993","4.53084","3.74231","1.0395","31354","6448","thing","LCR","3","12","20","20","20","1983","","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
