objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Set Cubed","34583","0","0","0","0","0","0","0","0","1","0","0","3","","Old games","","","","51961123","5.47005","5.29838","1.9286","30271","1217","thing","Set Cubed","2","4","30","30","30","2008","2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Settlers of the Stone Age","4394","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","119378370","6.01835","6.56732","2.5163","3112","4108","thing","The Settlers of the Stone Age","3","4","120","120","90","2002","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sexopoly","93984","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","149778586","0","8","2","0","28","thing","Sexopoly","2","8","0","0","0","2010","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows in the Forest","1070","0","0","0","0","0","0","0","0","1","0","0","3","","Kids","","","","67432394","5.67078","6.02483","1.1064","7059","4732","thing","Shadows in the Forest","2","8","15","15","15","1985","3,4,5,6","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows of Brimstone: City of the Ancients","146791","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","52718277","6.86385","7.94501","3.3781","668","7863","thing","Shadows of Brimstone: City of the Ancients","1","4","120","120","120","2014","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows over Camelot","15062","0","0","0","1","0","0","0","0","0","0","0","3","","Josh has","","","","32084515","6.9245","7.09955","2.569","604","36031","thing","Shadows over Camelot","3","7","90","90","60","2005","4,5,6,7","5,6,7","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows: Amsterdam","246297","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130539191","5.98707","6.56697","1.2927","3292","5134","thing","Shadows: Amsterdam","2","8","20","20","20","2018","2,4,5,6,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shaky Manor","232045","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","67432339","5.6841","6.12271","1.4167","6742","2350","thing","Shaky Manor","2","4","20","20","10","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shanghai Rummy","35396","0","0","0","0","0","0","0","0","1","0","0","3","","basket","","","","119539883","5.50134","5.715","1.5","26034","59","thing","Shanghai Rummy","2","6","40","40","40","1987","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Shared Dream","201861","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130539232","5.60175","6.73469","3.1667","9461","1094","thing","The Shared Dream","2","4","120","120","90","2017","1,2,3,4","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Shell Game","57050","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","41235737","0","0","1","0","2","thing","The Shell Game","2","4","0","0","0","1963","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sheriff of Nottingham","157969","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32084521","6.90265","7.04191","1.6581","624","57606","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Express","271774","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130522350","5.54572","6.0384","1.1667","14074","731","thing","Sherlock Express","2","6","10","10","10","2019","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Sherlock Files: Vol III – Puzzling Plots","315046","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143576996","5.5368","6.63987","1.6667","0","318","thing","The Sherlock Files: Vol III – Puzzling Plots","1","8","60","60","60","2020","1,2,3,4,5","2,3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","2511","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","109351237","7.35627","7.59797","2.6643","209","45375","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","1981","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Shifty Eyed Spies","232830","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","80013197","5.80076","6.72802","1.1667","4849","2378","thing","Shifty Eyed Spies","4","8","20","20","20","2017","4,5,6,7,8","6,7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shindig Machine","144413","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130522377","5.51802","7.01875","1.6667","20414","87","thing","Shindig Machine","3","8","5","5","5","2013","2,3,4,5,6,7,8","7","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ship Shape","30690","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80291555","0","6.39167","0","0","46","thing","Ship Shape","2","2","0","0","0","1980","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ship, Captain, and Crew","18812","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","91738004","5.4815","5.26276","1","29579","322","thing","Ship, Captain, and Crew","2","10","15","15","15","2017","2,3,4,5,6,7,8,9","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shop 'N Time","220672","0","0","0","0","1","0","0","0","1","0","0","3","","","","","","51921704","5.54262","5.99561","1","14542","480","thing","Shop 'N Time","2","8","15","15","15","2017","2,3,4,5,6,7,8","4,5,6,7,8","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"""SHOTGUN!"": The Road Trip Game","364866","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","149779670","5.48707","4.81714","1","28985","273","thing","""SHOTGUN!"": The Road Trip Game","2","99","480","480","30","2022","4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","4,5,6,7,8,9,10,11,12,13,14,15","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Side Quest: The Isle of Cats","428890","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","136976930","5.50827","5.75325","2","23816","372","thing","Side Quest: The Isle of Cats","1","4","90","90","60","2024","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sidibaba","38402","0","0","0","0","1","0","0","0","1","0","0","3","","","","","","119378355","5.55692","5.85961","2.1212","12679","949","thing","Sidibaba","3","7","45","45","45","2008","4,5,6,7","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Silver","278553","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80278601","6.20538","7.03969","1.7826","2243","4733","thing","Silver","2","4","60","60","30","2019","2,3,4","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Silver & Gold","270673","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","101389231","6.79571","7.15491","1.2143","767","17394","thing","Silver & Gold","2","4","20","20","20","2019","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Simon","5749","0","0","0","0","0","0","0","0","1","0","0","3","","electronic","","","","80013261","5.10774","4.45127","1.2222","31324","1372","thing","Simon","1","4","30","30","30","1978","1,2,3,4","1","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SiXeS: Travel & Promo Pack","195708","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","34592156","0","6.04545","1","0","127","thing","SiXeS: Travel & Promo Pack","0","0","6","6","0","2015","","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Skip-Bo","1269","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32084525","5.54775","5.66638","1.1907","13794","28298","thing","Skip-Bo","2","6","20","20","20","1967","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skip-Bo Junior","40507","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","101395912","5.48824","5.35725","1","28825","692","thing","Skip-Bo Junior","2","4","15","15","10","2003","3,4","3,4","4–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull King","150145","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","44957940","7.2214","7.52941","1.7311","284","35166","thing","Skull King","2","8","30","30","30","2013","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skyline","121423","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","32084530","5.67086","5.96259","1.2818","7056","1798","thing","Skyline","1","4","20","20","10","2012","1,2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Slamwich","3804","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","50348384","5.34787","5.15025","1.0897","31227","4464","thing","Slamwich","2","6","20","20","20","1994","2,3,4,5,6","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sleeping Queens","17053","0","0","0","1","0","0","0","0","0","0","0","3","","kids","","","","62070909","6.10564","6.47101","1.0553","2650","14530","thing","Sleeping Queens","2","5","20","20","20","2005","2,3,4,5","4,5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sleepy Castle","183401","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","144692435","5.53706","6.625","1.1667","15453","162","thing","Sleepy Castle","1","4","10","0","10","2015","1,2,3,4","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up","122522","6","0","0","0","1","0","0","0","0","0","0","3","","main box","","","","32084533","6.50526","6.68872","2.0634","1331","48441","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up: Awesome Level 9000","134726","6","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","32084536","6.7031","7.20562","2.1243","918","19170","thing","Smash Up: Awesome Level 9000","2","2","45","45","45","2013","2","","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up: The Obligatory Cthulhu Set","143185","0","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","33171573","6.20266","6.7359","2.1705","2251","11818","thing","Smash Up: The Obligatory Cthulhu Set","2","4","45","45","30","2013","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Smile","227893","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","65000645","5.77531","6.58517","1.0833","5154","1636","thing","Smile","3","5","30","30","30","2017","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Snake Oil","113289","0","0","0","0","0","0","0","0","1","0","0","3","","Kids really seem to like this game","","","","32084551","6.17021","6.6527","1.1262","2368","7020","thing","Snake Oil","3","10","30","30","20","2010","4,5,6,7,8","5,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Snakesss","337389","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","114710707","5.70984","6.27961","1.0769","6205","2769","thing","Snakesss","4","8","20","20","20","2021","5,6,7,8","6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Snap: The Interlocking Dragon-Making Game","5468","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","80013463","5.46959","5.27399","1.25","30294","619","thing","Snap: The Interlocking Dragon-Making Game","1","4","20","20","20","2002","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Snowball Fight","7575","5.5","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","32084553","5.48246","5.00568","1.0769","29495","169","thing","Snowball Fight","2","10","20","20","20","2002","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Snowball Fight","224426","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","93708537","0","4.72727","0","0","35","thing","Snowball Fight","2","7","30","30","15","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Snowbirds","233033","0","0","0","1","0","0","0","0","0","0","0","3","","P&P","","","","80013332","5.56691","7.10171","1.8","11764","235","thing","Snowbirds","1","1","15","15","10","2017","1","1","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sonar","231819","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54576545","6.01326","6.67746","1.9375","3139","5732","thing","Sonar","2","4","30","30","30","2017","2,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorry!","2407","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","33170668","4.70394","4.55859","1.1596","31348","13486","thing","Sorry!","2","4","30","30","30","1929","2,3,4","4","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorry! Sliders","37196","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","32084557","6.00484","6.32388","1.0609","3181","6009","thing","Sorry! Sliders","1","4","30","30","30","2008","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SOS Titanic","143157","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123044132","6.06226","6.73738","1.6517","2892","3672","thing","SOS Titanic","1","5","30","30","30","2013","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Cadets","123096","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","32084561","6.10766","6.54411","2.7543","2642","6168","thing","Space Cadets","3","6","120","120","60","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Craft","366470","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","148901545","5.56873","7.44646","2","11605","226","thing","Space Craft","2","4","60","60","30","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Escape","213882","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","149780318","5.75085","6.90611","1.5","5523","1201","thing","Space Escape","2","4","20","20","20","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spades","592","0","0","0","0","0","0","0","0","1","0","0","3","","card","","","","33481553","6.17856","6.81052","2.0267","2339","1694","thing","Spades","4","4","60","60","60","1938","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SPECTRE: The Board Game","343852","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130539373","5.56238","6.31129","2.6","12138","1516","thing","SPECTRE: The Board Game","2","4","45","45","20","2022","3,4","3,4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","0","0","0","1","0","0","0","0","0","0","0","3","","This is one of my favorite games. I even have it on my tablet!
","","","","33170866","7.29243","7.42105","1.7749","244","141384","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spot it!","63268","5","0","0","0","1","0","0","0","0","0","0","3","","kids","","","","32084563","6.3546","6.52104","1.0372","1720","52092","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sprawlopolis","251658","0","0","0","1","0","0","0","0","0","0","0","3","","P&P","","","","58189244","6.95916","7.25946","1.7944","555","28832","thing","Sprawlopolis","1","4","20","20","15","2018","1,2","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"SPY","195456","0","0","0","0","0","0","0","0","1","0","0","3","","small","","","","80013168","5.53768","5.76529","1.6","15350","2587","thing","SPY","2","4","10","10","10","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spy Alley","1986","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32084566","5.54786","5.72655","1.5","13778","3808","thing","Spy Alley","2","6","45","45","45","1992","3,4,5,6","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32084568","6.59241","6.73324","1.2298","1130","31069","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall 2","193308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54463667","6.25093","6.79613","1.2075","2057","7699","thing","Spyfall 2","3","12","15","15","15","2016","5,6,7,8,9,10,11,12","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Fluxx","102104","0","0","0","0","1","0","0","0","1","0","0","3","","basket","","","","119378283","5.97782","6.30154","1.4162","3364","14161","thing","Star Fluxx","2","6","40","40","10","2011","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Munchkin","4095","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","33171586","5.82065","6.09908","1.7439","4635","11951","thing","Star Munchkin","3","6","90","90","90","2002","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Trek: Attack Wing","139771","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","32084572","6.18178","7.49293","2.7163","2325","3619","thing","Star Trek: Attack Wing","2","99","60","60","60","2013","2,3,4,5","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Destiny","205359","0","0","0","0","0","0","0","0","1","0","0","3","","main game","","","","47181591","6.75973","7.40718","2.4455","828","8951","thing","Star Wars: Destiny","2","2","30","30","30","2016","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing Miniatures Game","103885","0","0","0","0","0","0","0","0","1","0","0","3","","in main game","","","","52999260","7.35777","7.62373","2.4948","205","41678","thing","Star Wars: X-Wing Miniatures Game","2","2","45","45","30","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Steal the Bacon","348498","0","0","0","0","0","0","0","0","1","0","0","3","","small","","","","102404605","5.49991","5.55","1","26444","339","thing","Steal the Bacon","3","8","10","10","10","2021","3,4,5,6","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Steam Park","121410","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37955828","6.42299","6.81095","2.1244","1538","9739","thing","Steam Park","2","4","60","60","60","2013","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Steam Time","180592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39270156","6.1688","7.02647","2.8971","2373","3396","thing","Steam Time","2","4","90","90","90","2015","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stink Bug","277011","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","64998232","0","5.85714","0","0","27","thing","Stink Bug","2","4","25","25","15","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Story Chest","317439","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","80013628","0","5.13529","1","0","62","thing","Story Chest","2","7","20","20","20","2018","2,3,4","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stowaway 52","169984","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","56692896","5.50652","5.61409","1","24455","358","thing","Stowaway 52","1","5","15","15","15","2015","1","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Struggle for Catan","91534","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","80013039","5.84654","6.16446","1.6686","4388","9706","thing","Struggle for Catan","2","4","30","30","30","2011","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Stuff and Nonsense","160853","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","52718251","5.61149","6.43481","1.4667","8990","1008","thing","Stuff and Nonsense","2","6","40","40","40","2015","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stuffed Fables","233312","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81005018","6.90363","7.3939","2.4502","623","23171","thing","Stuffed Fables","2","4","90","90","60","2018","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stupid Deaths","258855","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130539562","5.30145","4.35115","1","31266","1938","thing","Stupid Deaths","2","6","0","0","0","2018","4,5,6","6","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Such & Such","16699","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","100284998","5.49944","5.49302","1.25","26563","155","thing","Such & Such","4","10","40","40","40","2005","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Such a Thing?","6657","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32084625","5.66375","6.12634","1.2143","7223","1776","thing","Such a Thing?","2","8","30","30","30","1989","3,4,5,6,7,8","5","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Summer Camp","337787","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","137698972","6.31234","7.08826","1.7945","1855","6958","thing","Summer Camp","2","4","45","45","30","2021","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Summoner Wars: Guild Dwarves vs Cave Goblins","82420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32084628","6.50129","7.53899","2.2222","1344","5221","thing","Summoner Wars: Guild Dwarves vs Cave Goblins","2","4","30","30","30","2009","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Munchkin","16933","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","32084633","5.62963","5.86263","1.8355","8237","7367","thing","Super Munchkin","3","6","90","90","90","2005","3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Superfight","139443","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","37221842","5.59094","5.80767","1.1791","10051","9012","thing","Superfight","3","20","15","15","15","2013","3,4,5,6,7,8,12,13,14,15","4,5,6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Superfight: Fortress Mode","247910","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","81061943","0","6.71571","0","0","140","thing","Superfight: Fortress Mode","3","8","30","30","30","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Superfight: The '80's Deck","247907","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","81061958","0","6.35762","0","0","147","thing","Superfight: The '80's Deck","3","8","30","30","30","2017","","","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Superfight: The Anime Deck 2","198950","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","54338113","0","5.75","0","0","202","thing","Superfight: The Anime Deck 2","3","10","30","30","30","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Superfight: The Challenge Deck","182200","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","55258192","5.54388","6.53609","1","0","726","thing","Superfight: The Challenge Deck","3","10","30","0","30","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Superfight: The Orange Deck","150388","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","81002615","5.5854","6.61192","1","0","1407","thing","Superfight: The Orange Deck","2","10","30","30","30","2013","3,4,5,6,7,8,9,10","3,4,5,6,7","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Superfight: The Red Deck","150385","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","42450962","5.53071","6.07451","1","0","1298","thing","Superfight: The Red Deck","2","10","30","30","30","2013","3,4,5,6,7,8,9,10","3,4,5,6,7","16+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis!","2653","0","0","0","1","0","0","0","0","0","0","0","3","","Main box
Love this game!","","","","32084644","7.107","7.30471","1.696","390","41958","thing","Survive: Escape from Atlantis!","2","4","60","60","45","1982","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis! – 5-6 Player Mini Expansion","96323","0","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","33171823","6.2966","7.40192","1.5645","0","6412","thing","Survive: Escape from Atlantis! – 5-6 Player Mini Expansion","2","6","45","45","45","2011","3,4,5,6","6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis! – Dolphins & Dive Dice Mini Expansion","138745","0","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","33469797","5.99442","7.19778","1.6429","0","4265","thing","Survive: Escape from Atlantis! – Dolphins & Dive Dice Mini Expansion","2","4","60","60","60","2013","2,3,4","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Survive: Escape from Atlantis! – The Giant Squid Mini Expansion","85990","0","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","33171815","6.13442","7.0895","1.4839","0","6250","thing","Survive: Escape from Atlantis! – The Giant Squid Mini Expansion","2","4","60","60","60","2011","2,3,4","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Sushi Go!","133473","6.5","0","0","1","0","0","0","0","0","0","0","3","","Cute, quick game","","","","32084652","6.86526","6.97794","1.1625","665","99920","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Roll","271869","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","121479839","6.465","6.97832","1.2771","1430","10211","thing","Sushi Roll","2","5","20","20","20","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Suspend","127784","0","0","0","0","0","0","0","0","1","0","0","3","","on shelf","","","","45669485","5.77208","6.23609","1","5189","4147","thing","Suspend","1","4","15","15","15","2012","1,2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","80013382","7.13191","7.33629","2.5845","368","43738","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
