bg_id,2,3,4,5,6,8,10,12,14,16,18,21 and up
9217,0,0,0,0,1,4,26,14,1,1,0,1
31594,0,0,0,0,0,0,9,30,11,1,0,0
244271,0,0,0,0,0,3,6,1,2,0,0,0
245934,0,0,0,0,0,2,9,9,0,0,0,0
304420,0,0,0,0,0,0,3,12,8,1,0,0
144592,0,0,0,0,0,1,1,4,15,0,0,0
186751,0,0,0,0,0,1,8,3,3,2,0,0
204305,0,0,0,0,0,1,3,1,5,7,0,0
265736,0,0,0,0,0,29,20,8,2,0,0,0
63888,0,0,0,0,0,1,10,38,13,1,0,0
256226,0,0,1,2,2,18,4,1,1,0,0,1
21348,0,0,0,1,1,9,10,0,1,0,0,0
270633,0,0,0,0,0,0,0,1,0,0,0,0
70323,1,1,9,34,137,103,14,7,1,0,0,0
244711,0,0,0,0,0,0,6,9,7,0,1,0
40765,0,0,0,0,0,0,2,9,17,2,0,0
170771,0,0,0,0,0,3,7,9,9,1,0,0
111341,0,0,0,0,0,0,2,3,6,3,0,0
155987,0,0,0,0,0,4,18,19,3,1,0,0
195539,0,0,0,0,0,2,1,5,5,0,0,1
260428,0,0,0,0,0,5,12,2,3,1,0,0
154809,0,0,0,0,0,0,2,3,6,0,0,0
166669,0,0,0,0,0,4,8,4,0,0,0,0
236191,0,0,0,0,0,1,0,6,3,0,0,0
36932,0,0,0,0,1,3,16,27,7,0,0,0
128271,0,0,0,0,0,0,4,15,1,0,0,0
71,0,0,0,0,0,0,7,17,7,2,0,0
198773,0,0,2,2,7,25,13,3,2,0,0,0
121,0,0,0,0,0,0,0,10,18,7,0,0
54625,0,0,0,0,2,1,9,12,2,2,0,1
40354,0,0,0,0,0,2,1,8,14,4,0,0
243,3,0,0,0,0,0,0,6,15,37,7,8
194594,0,0,0,1,7,35,20,1,0,0,0,0
215311,0,0,0,1,12,18,11,1,0,0,0,0
161614,0,0,0,1,1,2,4,7,0,0,0,0
47,0,0,0,0,0,5,12,10,2,0,0,0
269210,0,0,0,0,0,2,7,6,2,0,0,0
15987,0,0,0,0,1,8,28,83,164,57,12,2
124708,0,0,0,6,29,64,33,8,1,0,0,0
55670,0,0,0,0,0,1,1,13,3,2,0,0
63628,0,0,0,0,0,2,11,10,2,2,0,0
66188,0,0,0,0,1,8,24,13,1,0,0,1
298047,0,0,0,8,13,26,4,0,0,0,0,0
215341,0,0,0,0,0,2,6,4,0,0,0,0
245655,0,0,0,0,0,0,1,2,3,7,6,0
151347,0,0,0,0,1,2,7,8,4,0,0,0
304783,0,0,0,0,0,0,2,6,4,1,0,0
229220,0,0,0,0,0,0,4,13,0,0,0,0
285192,0,0,0,0,0,3,15,10,2,1,0,0
138161,0,0,0,0,0,3,15,30,11,4,0,0
100901,0,0,5,10,25,56,22,4,1,0,0,0
128671,0,0,0,0,0,1,3,7,16,19,5,0
197376,0,0,0,0,3,15,12,14,9,0,0,0
274960,0,0,0,3,17,28,5,2,0,0,0,0
79828,0,0,0,0,0,1,5,22,10,3,0,0
34219,0,1,0,0,5,32,18,3,0,1,0,0
270844,0,0,0,0,0,1,11,6,0,0,0,0
27162,0,0,0,0,1,16,37,15,1,0,0,0
15985,0,0,0,0,0,1,6,18,4,0,0,0
96913,0,0,0,0,0,1,10,23,4,0,0,1
251658,0,0,0,0,2,18,7,2,0,0,0,0
176396,0,0,0,0,3,22,16,1,1,0,0,0
372,0,0,0,1,3,14,11,0,0,0,1,0
66362,0,0,0,0,0,0,15,22,1,1,0,0
92415,0,0,0,2,5,23,11,4,2,0,0,0
11170,0,0,0,3,8,22,6,3,0,1,0,0
192153,0,0,0,0,1,8,12,7,3,0,0,0
314491,0,0,0,0,0,10,7,1,0,0,0,0
105134,0,0,0,0,1,4,14,9,2,2,1,0
18833,0,0,0,0,1,12,13,1,1,0,0,0
311193,0,0,0,0,0,0,5,5,1,0,0,0
262543,0,0,0,0,2,8,6,3,1,1,0,0
137408,0,0,0,0,0,2,11,11,2,0,0,0
150658,0,0,0,0,4,13,7,3,3,0,0,0
25417,0,0,0,0,0,16,32,13,3,1,1,0
62222,0,0,0,0,0,0,6,7,2,2,0,0
150,0,1,9,16,8,2,1,0,0,0,0,0
246684,0,0,0,0,0,0,2,2,1,1,0,1
157969,0,0,0,0,5,33,23,5,7,1,0,1
5404,0,0,0,0,0,5,7,22,0,0,0,0
194607,0,0,0,0,2,5,12,11,0,0,0,0
17226,0,0,0,0,4,6,33,33,19,0,0,1
128996,0,0,0,0,0,6,14,4,0,2,0,0
83330,0,0,0,0,0,1,3,17,41,23,2,0
712,0,0,0,0,0,2,4,8,0,1,2,0
226522,0,0,0,0,0,0,2,4,2,0,0,0
136063,0,0,3,3,18,47,15,2,3,0,0,0
146791,1,0,0,0,0,3,7,19,8,0,0,0
177639,0,0,0,0,2,15,14,1,2,0,1,0
341169,0,0,0,0,0,0,1,6,1,0,0,0
256730,0,0,0,0,0,2,1,3,12,1,0,0
291572,0,0,0,0,0,1,4,6,10,4,1,0
158899,0,0,1,2,23,58,22,3,2,0,0,0
62227,0,0,0,0,0,0,0,4,26,27,3,2
156858,0,0,0,0,0,0,3,12,9,1,1,0
162082,0,0,0,0,0,1,9,10,3,0,0,0
233312,0,0,0,7,21,29,15,1,0,0,0,0
171,2,2,13,27,72,69,17,4,4,0,1,1
478,0,0,0,0,14,43,90,35,4,3,1,1
98778,0,0,0,1,5,39,49,14,4,0,0,2
264241,0,0,0,0,0,5,5,1,0,0,0,0
15062,0,0,0,0,1,14,50,18,4,1,0,0
95527,0,0,0,0,0,0,3,5,15,6,1,0
123123,0,0,0,0,1,1,8,7,4,0,0,0
13,1,0,2,6,44,222,150,35,4,2,1,0
205398,0,0,0,1,0,11,11,1,0,0,0,0
20437,0,0,0,0,0,1,4,9,0,0,0,0
43570,0,0,0,0,0,21,31,34,4,0,0,0
119506,0,0,0,0,0,0,9,9,3,3,0,0
144189,0,0,0,0,0,0,0,2,14,11,2,1
65781,0,0,0,0,0,1,10,20,2,0,0,0
127398,0,0,1,1,7,47,42,22,5,1,1,0
105551,0,0,0,0,0,0,3,12,14,3,0,0
206941,0,0,0,0,0,2,4,4,0,0,0,0
240196,0,0,0,0,0,0,1,8,4,0,0,0
