ver_id,id
259819,52
259819,8759
70612,52
231766,52
92836,52
162771,52
593293,52
401298,52
150469,5657
99465,52
99465,570
532287,52
532287,570
197145,15889
441729,157
498121,52
498121,8291
537434,36186
537434,52
311757,12540
534064,234
544057,234
288324,10
332181,10
359729,8832
570309,234
282921,234
600156,234
357821,10768
522210,30521
522210,234
328119,5812
372510,32581
366554,34522
366554,10
317052,33010
546440,30677
546440,234
440296,38809
403880,35928
508007,42760
454964,41423
456457,4932
371241,9459
399003,28072
420700,30034
398029,24844
445611,36563
419300,27480
555050,37975
583449,21608
583449,9459
583449,8291
580350,49615
398988,32591
551909,9459
551909,44349
474105,2726
472152,34801
405480,30490
580746,46500
259821,12540
259821,83
455533,9234
574625,22701
574625,83
159990,3490
159990,83
203650,22701
203650,83
294429,22701
294429,3490
294429,83
228291,3490
228291,83
592301,3490
592301,83
592301,6123
549316,46544
226637,10663
334106,3490
334106,83
297588,3490
297588,83
190158,3490
190158,83
431578,3490
431578,83
261876,3490
261876,83
350524,31815
460597,37681
236596,24883
441401,24883
567940,29412
567940,8147
525281,4304
525281,29412
428102,29412
588776,29412
433962,29412
433962,2973
433963,29412
433963,39
594181,6194
433965,29412
433965,5530
483185,37459
433966,29412
566150,32591
473573,34522
433964,29412
433964,30677
545821,267
544693,37
551081,8923
537067,37
567169,5530
567169,37
550153,4617
550153,37
583642,1466
583642,37
20564,267
20564,133
185221,133
42821,41
186431,8500
24201,133
30542,133
25201,133
24270,133
24270,3
24484,403
92107,7162
92107,2861
25459,4696
92367,4696
76269,531
173888,2861
283460,3
283460,2861
92109,531
27987,2861
30668,2861
65782,3
65782,2861
21754,3
21754,2861
22143,3
22143,2861
32607,2861
199340,2861
210690,1391
210690,2861
22256,3218
25305,4932
25305,2861
168311,2861
27817,2861
22193,3490
22193,2861
166054,2861
425764,4303
425764,2861
169765,4303
269997,17786
269997,2861
137272,8291
135724,8291
166152,10562
233916,2973
25602,2973
33185,2973
142987,12540
24172,17
25245,17
283616,17
40908,2973
26457,264
298181,264
91793,253
174090,5530
30849,4617
49802,2973
24350,17
514063,12884
514063,157
175487,12884
175487,538
190701,538
586061,157
586061,12884
388812,12884
388812,157
514060,12884
234622,12884
388811,12884
388811,157
587546,8291
587546,12884
43992,12884
230554,12884
337856,12884
337856,7466
520050,12884
520050,157
91520,12884
91520,538
80883,9234
140106,4304
20626,267
20626,3
20613,3
450339,3
