ver_id,id,type
164880,49771,artist
164880,50792,artist
164880,11961,artist
548062,49771,artist
548062,50792,artist
548062,11961,artist
236773,49771,artist
236773,50792,artist
236773,11961,artist
159477,11961,artist
279012,49771,artist
279012,50792,artist
279012,11961,artist
206874,49771,artist
206874,50792,artist
206874,11961,artist
165321,49771,artist
165321,50792,artist
165321,11961,artist
595583,127825,artist
595583,115373,artist
595583,94497,artist
595583,119983,artist
595583,11961,artist
521799,127825,artist
521799,115373,artist
521799,94497,artist
521799,119983,artist
521799,11961,artist
513506,127825,artist
513506,115373,artist
513506,94497,artist
513506,119983,artist
513506,11961,artist
520566,127825,artist
520566,115373,artist
520566,94497,artist
520566,119983,artist
520566,11961,artist
550172,127825,artist
550172,115373,artist
550172,94497,artist
550172,119983,artist
550172,11961,artist
395541,95103,artist
395541,66790,artist
395541,61020,artist
395541,32143,artist
501309,95103,artist
501309,66790,artist
501309,61020,artist
501309,32143,artist
441513,95103,artist
441513,66790,artist
441513,61020,artist
441513,32143,artist
515101,95103,artist
515101,66790,artist
515101,61020,artist
515101,32143,artist
270755,85079,artist
270755,12602,artist
294283,85079,artist
294283,12602,artist
555267,85079,artist
555267,12602,artist
64406,11883,artist
90270,11883,artist
20896,11883,artist
27204,11883,artist
23807,11883,artist
27563,11883,artist
128998,11883,artist
34799,11883,artist
28413,11883,artist
24247,11883,artist
25309,11883,artist
132269,11883,artist
33041,11883,artist
129772,11883,artist
335181,11883,artist
30559,11883,artist
166246,11883,artist
393133,11883,artist
257025,11507,artist
291380,11507,artist
229953,11507,artist
597278,11507,artist
213878,11507,artist
261673,11507,artist
222166,11507,artist
487433,85375,artist
110496,11507,artist
223236,11507,artist
221507,11507,artist
267502,11507,artist
279286,11507,artist
261612,11507,artist
516908,85375,artist
333995,11507,artist
491505,12495,artist
333142,12495,artist
261132,12495,artist
560311,12495,artist
560313,12495,artist
292531,12495,artist
288429,12495,artist
433162,12495,artist
377053,12495,artist
289334,12495,artist
465091,24858,artist
465091,1723,artist
465091,12495,artist
319647,24858,artist
319647,1723,artist
319647,12495,artist
293591,12495,artist
297461,24858,artist
297461,1723,artist
297461,12495,artist
280883,12495,artist
362456,60315,artist
362456,104238,artist
20720,11507,artist
165308,11507,artist
76931,11507,artist
69505,11507,artist
279688,11507,artist
301263,11507,artist
233951,11507,artist
90393,11507,artist
266028,11507,artist
